1;Edificio EPM;Área Metropolitana Centro;CR 58 CL 42 -125;Lunes a viernes de 07:30 a. m. a 04:30 p. m. Jornada Continúa;Medellín;Edificio Inteligente, frente al parque de los pies descalzos y museo del agua, al lado del teatro Metropolitano;SI hay punto de entrega para tarjeta Somos
2;Belén - La 30 con la 65;Área Metropolitana Centro; Carrera 65 N°29-149;Lunes a viernes 07:30 a.m. a 04:30 p.m. Jornada Continúa;Medellín;Cerca de la estación Metro Plus Fátima, sobre la 65. Central de operaciones EPM;NO hay punto de entrega para tarjeta Somos
3;La Herrera;Área Metropolitana Centro;Carrera 42 B N. 107 - 54;Lunes a viernes 07:30 a. m. a 04:30 p. m. Jornada Continúa;Medellín;Estación del Metro cable Popular;NO hay punto de entrega para tarjeta Somos
4;Punto Fácil Hospital Pablo Tobón Uribe;Área Metropolitana Centro; Calle 78B N°69-240 Torre A - Piso 1 ;Lunes a viernes de 06:00 a.m. a 07:00 p.m;Medellín;Por la primera entrada al fondo, yendo hacia la capilla;NO hay punto de entrega para tarjeta Somos
5;Punto Fácil Parque de los Deseos;Área Metropolitana Centro;Calle 71 B N°52-30 Interior 108;Lunes a viernes 06:30 a.m. a 06:30 p.m. Jornada continúa.;Medellín;Al interior del parque, por las oficinas centrales;NO hay punto de entrega para tarjeta Somos
6;UVA Los Guayacanes;Área Metropolitana Centro;Calle 65 C N°94-04;07:30 a.m. a 04:30 p.m. Jornada Continúa;Medellín;Una cuadra antes de la cárcel de menores, al frente de la urbanización Tulipanes. Ruta de bus Campiña la Huerta;NO hay punto de entrega para tarjeta Somos
7;El Bosque;Área Metropolitana Centro;CL 73 CR 51 D -71 (Interior 1103 ) Centro Comercial Bosque Plaza en Medellín.;Cerrada por contingencia Covid-19;El Bosque;;NO hay punto de entrega para tarjeta Somos
8;UVA Mirador de San Cristobal;Área Metropolitana Centro;Carrera 131 N. 65 - 40;Lunes a viernes 08:00 a. m. a 04:00 p. m. Horario de atención establecido por reapertura de Covid 19;Medellín;Una Cuadra después de la cancha de futbol del corregimiento;NO hay punto de entrega para tarjeta Somos
9;Miguel de Aguinaga;Área Metropolitana Centro;CR 52 CL 53 -49  piso 2;Lunes a viernes de 07:30 a. m. a 04:30 p. m. Jornada Continúa;Medellín;Edificio de la contraloría, segundo piso de TigoUNE, entrada por zona virtual;SI hay punto de entrega para tarjeta Somos
10;Punto Fácil Miguel de Aguinaga;Área Metropolitana Centro; Carrera 52 N°53-49 -Piso 1  ;Lunes a viernes de 06:30 a.m. a 06:30 p.m.;Medellín;Edificio de la contraloría, al lado de Tigo UNE;NO hay punto de entrega para tarjeta Somos
11;Punto Fácil MasCerca Belén;Área Metropolitana Centro occidental;Carrera 76 N. 32 - 74;Lunes a viernes de 07:30 a. m. a 05:30 p. m. Jornada continua;Punto Fácil MasCerca Belén;Sobre la CR 76, por las escuelas de tránsito, después del parque de Belén.;NO hay punto de entrega para tarjeta Somos
12;Palmitas;Área Metropolitana noroccidente;Casa de Gobierno Corregimiento de Palmitas;Cerrada por contingencia Covid-19. Servicio: Atención telefónica. Contáctanos a través del teléfono de EPM dispuesto en la Casa de Gobierno, el cual tiene línea directa a nuestros asesores.;Palmitas;Corregimiento San Sebastián de Palmitas;NO hay punto de entrega para tarjeta Somos
13;Punto Fácil Floresta;Área Metropolitana Noroccidente;Carrera 89 B Calle 48 A 37;07:30 a.m.. a 05:30 p.m. En proceso de adecuación espacio Atención a través de asesor en línea y autogestión;Punto Fácil Floresta;Frente a la placa deportiva los alcázares, cerca a las piscinas del Inder;NO hay punto de entrega para tarjeta Somos
14;Punto Fácil MasCerca Castilla;Área Metropolitana noroccidente;Carrera 65 N. 100 - 109;Lunes a viernes de 07:30 a. m. a 05:30 p. m. Jornada continua;Punto Fácil MasCerca Castilla;Frente al parque Juanes, a la altura de la unidad intermedia de Castilla;NO hay punto de entrega para tarjeta Somos
15;Barbosa;Área Metropolitana Norte;CL 16 CR 15 -31;Lunes a viernes de 07:30 a. m. a 04:30 p.m. Jornada Continúa;Barbosa;Cerca al supermercado Surtimax, subiendo media cuadra hacia el parque principal;NO hay punto de entrega para tarjeta Somos
16;Bello;Área Metropolitana Norte;Carrera 49 CL 45 -38 Edificio Santa Clara;Lunes a viernes de 07:30 a. m. a 04:30 p. m. Jornada continua;Bello;Edificio Sta Clara, de la entrada a urgencias del hospital Marco Fidel Suárez derecho hacia barrio Manchester;NO hay punto de entrega para tarjeta Somos
17;Copacabana;Área Metropolitana Norte;Carrera 53 N. 50 - 17 (INTERIOR 101 );Lunes a viernes de 07:30 a. m. a 04:30 p. m. Jornada Continúa;Copacabana;Diagonal al supermercado Fruver. Una cuadra hacia el sur desde el parque principal ;NO hay punto de entrega para tarjeta Somos
18;Girardota;Área Metropolitana Norte;CR 14 CL 08 -60 ;Lunes a viernes de 07:30 a. m. a 04:30 p. m. Jornada Continúa;Girardota;Por la calle de las Chuchas. A media cuadra de la registraduría, frente al templo evangélico;NO hay punto de entrega para tarjeta Somos
19;Terminal del norte;Área Metropolitana Norte;Carrera 64 C N°78-580 Local 054;Lunes a viernes 07:30 a.m. a 04:30 p.m. Jornada Continúa;Medellín;Local 54, por la salida sur puente peatonal que va la estación del metro;NO hay punto de entrega para tarjeta Somos
20;Punto Fácil Bello;Área Metropolitana Norte;Carrera 49 N°45-38 Edificio Santa Clara;06:30 a.m. a 04:30 p.m;Punto Fácil Bello;;NO hay punto de entrega para tarjeta Somos
21;Santa Elena;Área Metropolitana Oriente;Casa de Gobierno Parque Principal;Miércoles (cada ocho días) de 7:30 a.m hasta las 4:30 p.m en Jornada Continúa;Medellín;Casa de Gobierno Parque Principal del corregimiento de Santa Elena;NO hay punto de entrega para tarjeta Somos
22;Caldas;Área Metropolitana Sur;Carrera 50 N. 127 Sur - 59 Local 101;Lunes a viernes de 07:30 a. m. a 4:30 p. m. Jornada Continúa;Caldas;Edificio Punto Centro, frente al despacho de los buses que van para el Medellín, por la panadería Trigalia y frente al restaurante Shop Swey;NO hay punto de entrega para tarjeta Somos
23;Envigado;Área Metropolitana Sur;CR 43 CL 38 A Sur- 31;Lunes a viernes de 07:30 a. m. a 04:30 p. m. Jornada Continúa;Envigado;Al lado de la Personería, cerca a la alcaldía y el concejo, A dos cuadras del parque principal hacia el sur;NO hay punto de entrega para tarjeta Somos
24;La Estrella;Área Metropolitana Sur;CL 80 SUR CR 59 -14;Lunes a viernes de 07:30 a. m. a 04:30 p.m. Jornada Continúa;La Estrella;Una cuadra abajo del parque principal, por donde suben los buses, al lado de Tostao y cerca del CAMI de ese Mpio;NO hay punto de entrega para tarjeta Somos
25;Poblado;Área Metropolitana Sur;CL 10 CR 42 -18;Lunes a viernes de 07:30 a. m. a 04:30 p. m. Jornada Continúa;Medellín;Cuadra y media arriba del parque principal por toda la calle 10;NO hay punto de entrega para tarjeta Somos
26;San Antonio de Prado;Área Metropolitana Sur;CL 41 SUR CR 80-47;Lunes a viernes de 08:00 a.m. a 04:00 p.m. Horario de atención establecido por reapertura de Covid 19;Medellín;Media cuadra arriba parque del corregimiento, por la carnicería Porci Carnes, por donde suben los buses, al lado del almacén todo a $5 mil;NO hay punto de entrega para tarjeta Somos
27;Punto Fácil Envigado;Área Metropolitana Sur;Carrera 43 N°38 A Sur-31;Lunes a viernes de 06:30 a.m. a 06:30 p.m.;Punto Fácil Envigado;;NO hay punto de entrega para tarjeta Somos
